iter	Passed	Remaining
427	1722	2302
428	1726	2297
429	1729	2292
430	1733	2288
431	1736	2283
432	1740	2279
433	1744	2274
434	1747	2270
435	1751	2265
436	1755	2262
437	1759	2258
438	1763	2253
439	1767	2249
440	1771	2245
441	1775	2240
442	1778	2236
443	1783	2233
444	1786	2228
445	1790	2223
446	1793	2219
447	1797	2214
448	1801	2210
449	1804	2206
450	1808	2201
451	1812	2197
452	1816	2193
453	1819	2188
454	1823	2184
455	1827	2180
456	1831	2175
457	1834	2171
458	1838	2167
459	1842	2162
460	1845	2158
461	1849	2153
462	1853	2149
463	1856	2145
464	1860	2140
465	1864	2136
466	1868	2132
467	1871	2127
468	1875	2123
469	1879	2119
470	1882	2114
471	1886	2110
472	1890	2106
473	1894	2101
474	1897	2097
475	1901	2093
476	1904	2088
477	1908	2084
478	1912	2080
479	1916	2076
480	1920	2071
481	1923	2067
482	1927	2063
483	1931	2059
484	1935	2054
485	1939	2050
486	1942	2046
487	1946	2042
488	1950	2038
489	1954	2033
490	1957	2029
491	1961	2025
492	1965	2021
493	1969	2016
494	1972	2012
495	1976	2008
496	1980	2004
497	1984	2000
498	1987	1995
499	1991	1991
500	1995	1987
501	1998	1982
502	2002	1978
503	2006	1974
504	2010	1970
505	2013	1966
506	2017	1961
507	2021	1958
508	2025	1953
509	2029	1950
510	2033	1946
511	2037	1941
512	2041	1937
513	2045	1934
514	2049	1930
515	2053	1926
516	2057	1922
517	2061	1918
518	2065	1913
519	2069	1910
520	2073	1905
521	2076	1901
522	2080	1897
523	2083	1892
524	2087	1888
525	2090	1884
526	2094	1880
527	2098	1876
528	2102	1871
529	2105	1867
530	2109	1863
531	2113	1859
532	2116	1854
533	2120	1850
534	2124	1846
535	2128	1842
536	2132	1838
537	2136	1834
538	2140	1830
539	2143	1826
540	2147	1821
541	2151	1817
542	2154	1813
543	2158	1809
544	2162	1805
545	2166	1801
546	2170	1797
547	2174	1793
548	2177	1788
549	2181	1784
550	2184	1780
551	2188	1776
552	2192	1771
553	2195	1767
554	2199	1763
555	2202	1759
556	2206	1754
557	2209	1750
558	2213	1745
559	2216	1741
560	2219	1737
561	2223	1733
562	2227	1728
563	2231	1724
564	2234	1720
565	2238	1716
566	2241	1712
567	2245	1707
568	2248	1703
569	2252	1699
570	2256	1695
571	2260	1691
572	2263	1686
573	2267	1682
574	2271	1678
575	2274	1674
576	2278	1670
577	2281	1665
578	2285	1661
579	2288	1657
580	2292	1653
581	2296	1649
582	2299	1644
583	2303	1640
584	2307	1636
585	2310	1632
586	2314	1628
587	2318	1624
588	2322	1620
589	2325	1616
590	2329	1611
591	2332	1607
592	2336	1603
593	2340	1599
594	2343	1595
595	2347	1591
596	2350	1587
597	2354	1583
598	2358	1578
599	2362	1574
600	2366	1570
601	2369	1566
602	2373	1562
603	2377	1558
604	2380	1554
605	2384	1550
606	2387	1545
607	2391	1541
608	2394	1537
609	2398	1533
610	2401	1529
611	2405	1524
612	2409	1520
613	2412	1516
614	2416	1512
615	2419	1508
616	2423	1504
617	2427	1500
618	2430	1495
619	2434	1491
620	2438	1487
621	2441	1483
622	2444	1479
623	2448	1475
624	2452	1471
625	2455	1467
626	2459	1463
627	2463	1459
628	2466	1455
629	2470	1450
630	2474	1446
631	2477	1442
632	2481	1438
633	2484	1434
634	2488	1430
635	2491	1426
636	2495	1421
637	2498	1417
638	2502	1413
639	2505	1409
640	2509	1405
641	2512	1401
642	2516	1397
643	2519	1392
644	2523	1388
645	2526	1384
646	2530	1380
647	2533	1376
648	2537	1372
649	2541	1368
650	2544	1364
651	2548	1360
652	2551	1356
653	2555	1352
654	2559	1347
655	2562	1343
656	2566	1339
657	2570	1335
658	2573	1331
659	2577	1327
660	2581	1323
661	2584	1319
662	2587	1315
663	2591	1311
664	2595	1307
665	2598	1303
666	2602	1299
667	2605	1295
668	2608	1290
669	2612	1286
670	2615	1282
671	2619	1278
672	2622	1274
673	2626	1270
674	2630	1266
675	2633	1262
676	2637	1258
677	2641	1254
678	2645	1250
679	2648	1246
680	2652	1242
681	2655	1238
682	2659	1234
683	2663	1230
684	2667	1226
685	2670	1222
686	2674	1218
687	2678	1214
688	2681	1210
689	2684	1206
690	2688	1202
691	2692	1198
692	2696	1194
693	2699	1190
694	2703	1186
695	2706	1182
696	2710	1178
697	2713	1174
698	2717	1170
699	2721	1166
700	2724	1162
701	2728	1158
702	2732	1154
703	2736	1150
704	2740	1146
705	2743	1142
706	2747	1138
707	2751	1134
708	2755	1130
709	2758	1126
710	2762	1122
711	2766	1118
712	2770	1115
713	2774	1111
714	2777	1107
715	2781	1103
716	2785	1099
717	2789	1095
718	2793	1091
719	2796	1087
720	2800	1083
721	2804	1079
722	2807	1075
723	2811	1071
724	2815	1067
725	2818	1063
726	2822	1059
727	2825	1055
728	2829	1051
729	2833	1047
730	2836	1043
731	2839	1039
732	2843	1035
733	2847	1031
734	2850	1027
735	2854	1023
736	2858	1019
737	2861	1016
738	2865	1012
739	2869	1008
740	2873	1004
741	2876	1000
742	2880	996
743	2884	992
744	2888	988
745	2891	984
746	2895	980
747	2898	976
748	2902	972
749	2906	968
750	2910	964
751	2913	960
752	2917	956
753	2921	953
754	2924	949
755	2928	945
756	2931	941
757	2935	937
758	2939	933
759	2942	929
760	2946	925
761	2949	921
762	2953	917
763	2956	913
764	2960	909
765	2963	905
766	2967	901
767	2970	897
768	2974	893
769	2978	889
770	2981	885
771	2985	881
772	2989	877
773	2992	873
774	2996	869
775	3000	865
776	3003	862
777	3007	858
778	3010	854
779	3014	850
780	3017	846
781	3021	842
782	3024	838
783	3028	834
784	3031	830
785	3035	826
786	3039	822
787	3042	818
788	3046	814
789	3049	810
790	3053	806
791	3057	802
792	3060	798
793	3064	795
794	3076	793
795	3080	789
796	3084	785
797	3087	781
798	3091	777
799	3094	773
800	3098	769
801	3102	765
802	3105	761
803	3109	758
804	3112	754
805	3116	750
806	3119	746
807	3123	742
808	3127	738
809	3130	734
810	3134	730
811	3137	726
812	3141	722
813	3145	718
814	3148	714
815	3152	710
816	3155	706
817	3159	703
818	3163	699
819	3166	695
820	3170	691
821	3174	687
822	3178	683
823	3181	679
824	3185	675
825	3189	671
826	3192	667
827	3196	664
828	3200	660
829	3203	656
830	3207	652
831	3211	648
832	3214	644
833	3218	640
834	3222	636
835	3225	632
836	3229	628
837	3233	625
838	3236	621
839	3240	617
840	3243	613
841	3247	609
842	3251	605
843	3254	601
844	3258	597
845	3262	593
846	3265	589
847	3269	586
848	3273	582
849	3277	578
850	3280	574
851	3284	570
852	3288	566
853	3291	562
854	3295	558
855	3299	555
856	3302	551
857	3306	547
858	3310	543
859	3313	539
860	3317	535
861	3321	531
862	3325	527
863	3329	524
864	3333	520
865	3336	516
866	3340	512
867	3343	508
868	3347	504
869	3351	500
870	3354	496
871	3358	492
872	3362	489
873	3366	485
874	3370	481
875	3373	477
876	3377	473
877	3380	469
878	3384	465
879	3387	461
880	3391	458
881	3395	454
882	3399	450
883	3402	446
884	3406	442
885	3409	438
886	3413	434
887	3417	430
888	3420	427
889	3424	423
890	3427	419
891	3431	415
892	3435	411
893	3438	407
894	3443	403
895	3446	400
896	3450	396
897	3454	392
898	3457	388
899	3461	384
900	3465	380
901	3468	376
902	3472	373
903	3476	369
904	3479	365
905	3483	361
906	3486	357
907	3490	353
908	3494	349
909	3497	345
910	3501	342
911	3505	338
912	3509	334
913	3512	330
914	3515	326
915	3519	322
916	3522	318
917	3526	314
918	3529	311
919	3533	307
920	3537	303
921	3540	299
922	3544	295
923	3548	291
924	3552	288
925	3555	284
926	3559	280
927	3563	276
928	3566	272
929	3570	268
930	3573	264
931	3577	261
932	3581	257
933	3585	253
934	3588	249
935	3592	245
936	3596	241
937	3600	237
938	3603	234
939	3607	230
940	3611	226
941	3615	222
942	3619	218
943	3622	214
944	3626	211
945	3629	207
946	3633	203
947	3637	199
948	3641	195
949	3644	191
950	3648	187
951	3651	184
952	3655	180
953	3658	176
954	3662	172
955	3665	168
956	3669	164
957	3673	161
958	3676	157
959	3680	153
960	3684	149
961	3687	145
962	3691	141
963	3694	137
964	3698	134
965	3702	130
966	3705	126
967	3709	122
968	3713	118
969	3717	114
970	3720	111
971	3724	107
972	3728	103
973	3731	99
974	3735	95
975	3738	91
976	3742	88
977	3746	84
978	3749	80
979	3752	76
980	3756	72
981	3760	68
982	3763	65
983	3767	61
984	3771	57
985	3774	53
986	3778	49
987	3781	45
988	3785	42
989	3789	38
990	3793	34
991	3796	30
992	3800	26
993	3804	22
994	3808	19
995	3811	15
996	3815	11
997	3819	7
998	3823	3
999	3826	0
